Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Erudite Wizard,FDN,Foundations,37,normal,common,1,100835,9273c417-0fcd-4273-b24e-afff76336d0c,0.1,false,false,mint,en,USD
Essence Scatter,FDN,Foundations,153,normal,uncommon,2,101226,dd05c850-f91e-4ffb-b4cc-8418d49dad90,0.15,false,false,mint,en,USD
Evolving Wilds,FDN,Foundations,262,normal,common,3,100376,3a0b9356-5b91-4542-8802-f0f7275238e1,0.15,false,false,mint,en,USD
Exclusion Mage,FDN,Foundations,508,normal,uncommon,1,101531,62c8024e-490a-484a-bcee-da7728a64a1f,0.24,false,false,mint,en,USD
Exemplar of Light,FDN,Foundations,297,foil,rare,2,100128,089b28fe-f10f-4e3e-8c19-ed012349faf4,9.58,false,false,mint,en,USD
Expedition Map,FDN,Foundations,724,foil,common,1,100130,08e66835-c228-48fa-bcaa-eb96edbd4f5a,1.82,false,false,mint,en,USD
Exsanguinate,FDN,Foundations,173,normal,uncommon,1,101330,f11d7311-4066-4a5d-ba28-9857fa707a0b,0.3,false,false,mint,en,USD
Faebloom Trick,FDN,Foundations,38,normal,uncommon,1,100148,0c3bee8f-f5be-4404-a696-c902637799c3,0.15,false,false,mint,en,USD
Fanatical Firebrand,FDN,Foundations,195,normal,common,1,101598,d1296316-7781-4e98-95e6-7020648be6a5,0.13,false,false,mint,en,USD
Feed the Swarm,FDN,Foundations,712,foil,common,1,101273,e66d4541-160c-4137-98e7-0eaa692c7d7a,0.35,false,false,mint,en,USD
Feldon's Cane,FDN,Foundations,673,normal,uncommon,1,100091,026f55c3-8e65-4520-b26d-6208344f73b2,0.54,false,false,mint,en,USD
Felidar Cub,FDN,Foundations,573,normal,common,1,100156,0d61d50b-7ab6-45a9-b207-31d87aa2e555,0.15,false,false,mint,en,USD
Felidar Retreat,FDN,Foundations,574,normal,rare,1,100801,89e3cc09-5057-4c05-88fc-d6cda809fc74,3.38,false,false,mint,en,USD
Felidar Savior,FDN,Foundations,12,normal,common,1,97191,cd092b14-d72f-4de0-8f19-1338661b9e3b,0.15,false,false,mint,en,USD
Felling Blow,FDN,Foundations,105,normal,uncommon,2,100854,96948ae3-b15d-4d6d-aa73-9f52084cd903,0.15,false,false,mint,en,USD
Fiendish Panda,FDN,Foundations,120,normal,uncommon,1,100483,4e434d74-cad0-45f5-bc8d-f34aa5e1d879,0.23,false,false,mint,en,USD
Fierce Empath,FDN,Foundations,636,normal,common,1,100290,28a1dd7f-2e42-4062-a941-b489b98a49fc,0.19,false,false,mint,en,USD
Fiery Annihilation,FDN,Foundations,86,normal,uncommon,2,100523,54fe00aa-d284-48f9-b5a2-1bd4c5fa8e58,0.15,false,false,mint,en,USD
Finale of Revelation,FDN,Foundations,589,normal,mythic,1,100135,0a77e063-e8f6-4cb2-954e-74cf41ce73da,0.31,false,false,mint,en,USD
Fire Elemental,FDN,Foundations,538,normal,common,1,101607,dc506f58-048d-49cc-ad8c-2eb851b08bb6,0.17,false,false,mint,en,USD
Firebrand Archer,FDN,Foundations,196,normal,common,1,101630,fe0312f1-4c98-4b7f-8a34-0059ea80edef,0.21,false,false,mint,en,USD
Fireshrieker,FDN,Foundations,674,normal,uncommon,1,100451,484fbce6-71bd-40eb-a71b-86958a094708,0.46,false,false,mint,en,USD
Firespitter Whelp,FDN,Foundations,197,normal,uncommon,1,100463,4b3a4c7d-3126-4bde-9dca-cb6a1e2f37c9,0.18,false,false,mint,en,USD
Flamewake Phoenix,FDN,Foundations,198,normal,rare,1,100955,a94f008e-48a0-406b-83fa-99cd396831f8,0.17,false,false,mint,en,USD
Flashfreeze,FDN,Foundations,590,normal,uncommon,1,100831,91e37a7e-6093-4ef5-b6e4-4aa800ddfc1b,0.19,false,false,mint,en,USD
Fleeting Distraction,FDN,Foundations,155,normal,common,3,101587,c0b86a7b-4912-43a7-ab89-c3432385baa1,0.08,false,false,mint,en,USD
Fleeting Flight,FDN,Foundations,13,normal,common,1,101513,55139100-9342-41fd-b10a-8e9932e605d4,0.15,false,false,mint,en,USD
Fleeting Flight,FDN,Foundations,13,foil,common,1,101513,55139100-9342-41fd-b10a-8e9932e605d4,0.17,false,false,mint,en,USD
Fog Bank,FDN,Foundations,591,normal,uncommon,1,100192,18748b1d-4161-482c-a726-8762b4c1819c,0.2,false,false,mint,en,USD
Frenzied Goblin,FDN,Foundations,199,normal,uncommon,1,101602,d5592573-2889-40b1-b1d5-c2802482549a,0.15,false,false,mint,en,USD
Fumigate,FDN,Foundations,575,normal,rare,1,101256,e2c1e655-1883-428f-abe8-69c011cfbd4b,0.4,false,false,mint,en,USD
"Fynn, the Fangbearer",FDN,Foundations,637,normal,uncommon,1,100626,699efb9e-2649-432b-8b2d-10775114c314,0.25,false,false,mint,en,USD
"Garna, Bloodfist of Keld",FDN,Foundations,658,normal,uncommon,1,100559,5d7fcd03-fffe-467a-88a5-e583e32afd7a,0.23,false,false,mint,en,USD
Garruk's Uprising,FDN,Foundations,220,normal,uncommon,1,100447,4805c303-e73b-443b-a09f-49d2c2c88bb5,0.47,false,false,mint,en,USD
Gate Colossus,FDN,Foundations,675,normal,uncommon,1,101068,bc49d9cb-8c7a-4a8f-96ea-bbe6ade8ae00,0.15,false,false,mint,en,USD
